Iteration,Train Loss,Validation Loss
0,4.458084583282471,4.465017318725586
500,2.101630449295044,2.240928888320923
1000,1.7555850744247437,2.1075403690338135
1500,1.5154635906219482,2.0864062309265137
2000,1.3493413925170898,2.066967248916626
2500,1.251412272453308,2.068185806274414
3000,1.1483736038208008,2.1114823818206787
3500,1.0510207414627075,2.133131980895996
4000,0.9871278405189514,2.1385092735290527
4500,0.951975405216217,2.1502981185913086
5000,0.894833505153656,2.2247371673583984
